epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
83,5961.93,0.66662,1.03957,0.22791,0.24418,0.03114,11.4224,0.98918,0.99024,0.9949,0.7282,0.98431,0.98537,0.99355,0.693,1.12366,1.18821,0.13849,0.3188,0.05792,0,0.0009176,0.0009176,0.0009176
84,6031.3,0.6146,1.1126,0.23187,0.24095,0.02832,11.5671,0.98246,0.98049,0.9931,0.73596,0.97601,0.99227,0.9928,0.77239,1.11301,0.91619,0.16581,0.35526,0.05734,0,0.0009044,0.0009044,0.0009044
85,6101.53,0.64496,1.10057,0.23125,0.23931,0.02954,11.6833,0.9855,0.99491,0.99485,0.76848,0.9855,0.99491,0.99456,0.78261,1.02934,0.90746,0.13795,0.29853,0.05142,0,0.0008912,0.0008912,0.0008912
86,6170.51,0.54285,1.01786,0.21494,0.20314,0.02464,11.3174,0.98748,1,0.99495,0.70799,0.98748,1,0.99461,0.75195,1.24383,1.01686,0.21556,0.36778,0.06403,0,0.000878,0.000878,0.000878
87,6239.25,0.60958,1.06427,0.22845,0.22725,0.02792,11.3355,0.98885,0.98537,0.99481,0.70977,0.98396,0.98049,0.99467,0.7312,1.24733,1.0605,0.14968,0.45665,0.06455,0,0.0008648,0.0008648,0.0008648
88,6308.55,0.67876,1.09071,0.22147,0.25677,0.03156,11.5363,0.99898,0.99512,0.995,0.76104,0.99408,0.99024,0.99466,0.79022,1.06827,0.87065,0.15654,0.30631,0.05373,0,0.0008516,0.0008516,0.0008516
89,6377.82,0.62557,1.00531,0.22427,0.22308,0.0293,11.3917,0.99511,0.99285,0.99495,0.74771,0.99511,0.99285,0.99461,0.75022,1.12427,0.99611,0.12367,0.31156,0.05769,0,0.0008384,0.0008384,0.0008384
90,6447.29,0.58301,1.13942,0.23691,0.20474,0.0265,11.5933,0.99496,1,0.995,0.73913,0.99496,1,0.99451,0.81196,1.12311,0.79589,0.20686,0.31969,0.05841,0,0.0008252,0.0008252,0.0008252
91,6516.9,0.68078,1.04858,0.2261,0.23287,0.03188,11.3902,0.98548,0.99343,0.99481,0.75715,0.98548,0.99343,0.99431,0.80034,1.05324,0.82714,0.13293,0.30444,0.05404,0,0.000812,0.000812,0.000812
92,6585.85,0.65094,1.01624,0.21952,0.23127,0.03038,11.2365,0.99346,0.99512,0.99485,0.7615,0.99346,0.99512,0.99427,0.79871,1.05706,0.85323,0.15553,0.31408,0.05417,0,0.0007988,0.0007988,0.0007988
